seed,sample,ranking_score
1,0,0.9267196539211184
1,1,0.9183918049858164
1,2,0.9261744970623099
1,3,0.9132565775450393
1,4,0.9138233935124846
2,0,0.9214759277737674
2,1,0.9299940153954651
2,2,0.9305912639032747
2,3,0.9224347947076537
2,4,0.9199762828324889
3,0,0.9182700871945841
3,1,0.9213350124065154
3,2,0.9227983353867208
3,3,0.9253501221386597
3,4,0.922407116254297
4,0,0.9241510120324964
4,1,0.9279332171139238
4,2,0.9298301709750929
4,3,0.9261251180396615
4,4,0.9269606144987677
5,0,0.9216155564783277
5,1,0.9231768830238586
5,2,0.9192963137425828
5,3,0.9179542852510094
5,4,0.9241840042402402
6,0,0.9213800236677799
6,1,0.9194865476912711
6,2,0.9200751191279241
6,3,0.9270240152684689
6,4,0.916784625962398
7,0,0.9205027205271508
7,1,0.920389299081297
7,2,0.9238934499899111
7,3,0.9234230809258939
7,4,0.9224972845028444
8,0,0.9200903546666543
8,1,0.9265514444476898
8,2,0.9190066963888018
8,3,0.9232740799788384
8,4,0.933157951936066
9,0,0.9230374105006341
9,1,0.9177192833831184
9,2,0.9207225627273529
9,3,0.9292239814216716
9,4,0.9197895032291884
10,0,0.9192781277842168
10,1,0.922608709223339
10,2,0.9224441402407142
10,3,0.92059222128031
10,4,0.9216011425701578
11,0,0.9237145526127326
11,1,0.9217115163216776
11,2,0.9279214769658893
11,3,0.9276985618506775
11,4,0.9231258458088727
12,0,0.9215289826823203
12,1,0.924209532497489
12,2,0.9242312697431692
12,3,0.9223630226484363
12,4,0.9235544746740343
13,0,0.9284778525186032
13,1,0.9186519237052673
13,2,0.9187847164017379
13,3,0.9267023539259257
13,4,0.9248539068659312
14,0,0.9281675314045544
14,1,0.9210444186854051
14,2,0.926724652132988
14,3,0.9226950914606104
14,4,0.9226386100627149
15,0,0.9256523913794635
15,1,0.9211647536086789
15,2,0.9172297945481686
15,3,0.9146167823769117
15,4,0.9213973113938229
16,0,0.9243712796816439
16,1,0.9231263349626535
16,2,0.9263715835412152
16,3,0.9244142079701013
16,4,0.9221058362514198
17,0,0.9202835634582288
17,1,0.9201622664146316
17,2,0.9213531329593299
17,3,0.9197175070545381
17,4,0.9261753357902428
18,0,0.9268141627040013
18,1,0.9230815499530366
18,2,0.9234749884914857
18,3,0.9186133580551099
18,4,0.9190356490191393
19,0,0.9218796167265237
19,1,0.9240480696548149
19,2,0.9181983836309844
19,3,0.9183459778019474
19,4,0.9201663970532016
20,0,0.9259019906203175
20,1,0.9205681991697351
20,2,0.9184943427464247
20,3,0.9300211068829185
20,4,0.9237397474758783
21,0,0.9285171881091167
21,1,0.920130671274842
21,2,0.923255072247311
21,3,0.9295093435291573
21,4,0.9248771645885554
22,0,0.9222030196940494
22,1,0.9267612164560782
22,2,0.919177924465753
22,3,0.9238793584020222
22,4,0.9224610004544097
23,0,0.91957108827779
23,1,0.9255160441828869
23,2,0.9267325092912427
23,3,0.9170168072743687
23,4,0.9180673822103711
24,0,0.9268847311414095
24,1,0.9235276228149443
24,2,0.9175499427236807
24,3,0.9246033759253002
24,4,0.9220458214741758
25,0,0.9221288990392927
25,1,0.9198497306893463
25,2,0.9320286360583141
25,3,0.9184794322059646
25,4,0.9210434769485125
26,0,0.923523321116891
26,1,0.9218664325046096
26,2,0.9233617371015755
26,3,0.9285423758157806
26,4,0.919826666768145
27,0,0.9259354109443785
27,1,0.9216332599547868
27,2,0.9247391807297239
27,3,0.9248769419514817
27,4,0.9285196476943243
28,0,0.9189219287359717
28,1,0.9220184935417377
28,2,0.9193297716903357
28,3,0.9207675886173601
28,4,0.920714029083273
29,0,0.9261070609556212
29,1,0.9248577432122985
29,2,0.926985023222457
29,3,0.9209650536922525
29,4,0.9194141724388393
30,0,0.9162614405285362
30,1,0.9187822597171879
30,2,0.9191950749847912
30,3,0.9268171294270466
30,4,0.9191798519485169
